country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","25-10-2025 18:00:00",23.023389,72.515201,SO2,7,101,26
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","25-10-2025 18:00:00",28.567890,77.250515,OZONE,3,309,202
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","25-10-2025 18:00:00",28.530785,77.271255,OZONE,6,303,165
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","25-10-2025 18:00:00",28.623763,77.287209,PM10,159,499,256
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","25-10-2025 18:00:00",28.674045,77.131023,PM10,134,418,306
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","25-10-2025 18:00:00",28.5512005,77.2735737,NO2,1,113,37
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","25-10-2025 18:00:00",28.5710274,77.0719006,PM10,145,500,310
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","25-10-2025 18:00:00",28.5710274,77.0719006,NH3,3,5,4
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","25-10-2025 18:00:00",28.5710274,77.0719006,SO2,12,23,18
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","25-10-2025 18:00:00",28.580280,77.233829,SO2,1,51,14
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","25-10-2025 18:00:00",28.580280,77.233829,OZONE,4,310,210
India,Delhi,Delhi,"Lodhi Road, Delhi - IITM","25-10-2025 18:00:00",28.588333,77.221667,NO2,92,240,134
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","25-10-2025 18:00:00",28.60909,77.0325413,NH3,6,13,10
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","25-10-2025 18:00:00",28.60909,77.0325413,SO2,2,79,20
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","25-10-2025 18:00:00",28.570173,76.933762,CO,30,58,44
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","25-10-2025 18:00:00",30.943887,76.801991,OZONE,62,204,151
India,Jammu_and_Kashmir,Srinagar,"Rajbagh, Srinagar - JKSPCB","25-10-2025 18:00:00",34.066206,74.819820,SO2,3,4,3
India,Jammu_and_Kashmir,Srinagar,"Rajbagh, Srinagar - JKSPCB","25-10-2025 18:00:00",34.066206,74.819820,OZONE,1,26,8
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB","25-10-2025 18:00:00",23.80569,86.44268,PM10,123,155,135
India,Karnataka,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB","25-10-2025 18:00:00",15.888653,74.541751,PM2.5,NA,NA,NA
India,Karnataka,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB","25-10-2025 18:00:00",15.888653,74.541751,NO2,NA,NA,NA
